L	-0.0505	2.8588	1477010443050000	0.0000	2.7500	0.0000	1.0000
L	-0.1388	3.8233	1477010443850000	-0.1062	3.5408	-0.2487	0.9686
L	-0.3784	4.2047	1477010444650000	-0.4058	4.2803	-0.4818	0.8763
L	-0.7098	4.9367	1477010445450000	-0.8798	4.9222	-0.6845	0.7290
L	-1.3485	5.1176	1477010446250000	-1.4986	5.4259	-0.8443	0.5358
L	-2.1744	5.6424	1477010447050000	-2.2232	5.7600	-0.9511	0.3090
L	-3.0875	5.6869	1477010447850000	-3.0081	5.9033	-0.9980	0.0628
L	-3.6729	6.1666	1477010448650000	-3.8040	5.8470	-0.9823	-0.1874
L	-4.7212	5.6577	1477010449450000	-4.5609	5.5945	-0.9048	-0.4258
L	-5.2628	4.8395	1477010450250000	-5.2312	5.1616	-0.7705	-0.6374
L	-5.7356	4.5615	1477010451050000	-5.7729	4.5757	-0.5878	-0.8090
L	-6.0095	3.9648	1477010451850000	-6.1517	3.8735	-0.3681	-0.9298
L	-6.3472	3.2632	1477010452650000	-6.3441	3.0991	-0.1253	-0.9921
L	-6.2941	2.2156	1477010453450000	-6.3378	2.3013	0.1253	-0.9921
L	-6.0586	1.3633	1477010454250000	-6.1333	1.5300	0.3681	-0.9298
L	-5.5865	0.9638	1477010455050000	-5.7435	0.8338	0.5878	-0.8090
L	-5.1204	0.0704	1477010455850000	-5.1927	0.2565	0.7705	-0.6374
L	-4.4110	0.1175	1477010456650000	-4.5157	-0.1657	0.9048	-0.4258
L	-3.5483	-0.3090	1477010457450000	-3.7549	-0.4063	0.9823	-0.1874
L	-2.7443	-0.4894	1477010458250000	-2.9582	-0.4502	0.9980	0.0628
L	-2.2353	-0.3748	1477010459050000	-2.1757	-0.2945	0.9511	0.3090
L	-1.2458	0.2214	1477010459850000	-1.4564	0.0509	0.8443	0.5358
L	-0.8729	0.4486	1477010460650000	-0.8456	0.5643	0.6846	0.7289
L	-0.3972	1.1676	1477010461450000	-0.3817	1.2135	0.4818	0.8763
L	-0.0507	2.1903	1477010462250000	-0.0938	1.9576	0.2487	0.9686
L	-0.0705	2.8361	1477010463050000	0.0000	2.7500	0.0000	1.0000
L	0.0775	3.7569	1477010463850000	0.0813	3.5437	0.2182	0.9759
L	0.3666	4.1853	1477010464650000	0.3575	4.2923	0.4540	0.8910
L	0.8797	5.2971	1477010465450000	0.8112	4.9487	0.6613	0.7501
L	1.1364	5.6821	1477010466250000	1.4138	5.4717	0.8271	0.5621
L	2.3897	5.8506	1477010467050000	2.1276	5.8283	0.9409	0.3387
L	3.0613	6.0872	1477010467850000	2.9076	5.9962	0.9956	0.0941
L	3.7542	5.8837	1477010468650000	3.7049	5.9649	0.9877	-0.1565
L	4.5631	5.5835	1477010469450000	4.4693	5.7363	0.9177	-0.3972
L	5.1987	4.9915	1477010470250000	5.1529	5.3248	0.7901	-0.6129
L	5.5621	4.6629	1477010471050000	5.7127	4.7561	0.6129	-0.7902
L	6.4875	4.1763	1477010471850000	6.1134	4.0662	0.3971	-0.9178
L	6.6873	3.4610	1477010472650000	6.3300	3.2982	0.1564	-0.9877
L	6.4982	2.4940	1477010473450000	6.3488	2.5005	-0.0941	-0.9956
L	6.0385	1.4651	1477010474250000	6.1686	1.7232	-0.3388	-0.9409
L	5.9962	1.1271	1477010475050000	5.8008	1.0152	-0.5621	-0.8271
L	5.2994	0.3892	1477010475850000	5.2685	0.4208	-0.7501	-0.6613
L	4.5725	-0.2389	1477010476650000	4.6050	-0.0225	-0.8910	-0.4540
L	3.8617	-0.2040	1477010477450000	3.8522	-0.2868	-0.9759	-0.2181
L	3.0781	-0.3772	1477010478250000	3.0573	-0.3557	-0.9995	0.0314
L	2.2739	-0.1221	1477010479050000	2.2702	-0.2247	-0.9603	0.2790
L	1.4751	0.1925	1477010479850000	1.5404	0.0979	-0.8607	0.5090
L	1.0983	0.8604	1477010480650000	0.9138	0.5919	-0.7071	0.7071
L	0.5954	1.3344	1477010481450000	0.4297	1.2262	-0.5090	0.8607
L	-0.1847	2.0107	1477010482250000	0.1186	1.9610	-0.2790	0.9603
L	0.1706	2.8717	1477010483050000	0.0000	2.7500	-0.0314	0.9995
