R	3.8137	1.5541	0.3090	1477010443700000	-0.0712	3.3950	-0.2028	0.9792
R	4.1580	1.6960	1.5880	1477010444500000	-0.3356	4.1478	-0.4399	0.8980
R	4.7752	1.6853	1.0189	1477010445300000	-0.7789	4.8112	-0.6494	0.7604
R	5.4652	1.8519	0.8896	1477010446100000	-1.3732	5.3436	-0.8181	0.5750
R	6.0301	1.9089	0.3782	1477010446900000	-2.0813	5.7114	-0.9354	0.3535
R	6.3598	1.9606	0.3490	1477010447700000	-2.8586	5.8916	-0.9940	0.1097
R	6.8075	2.1613	0.4805	1477010448500000	-3.6563	5.8728	-0.9900	-0.1409
R	7.0974	2.2382	-0.1085	1477010449300000	-4.4242	5.6562	-0.9239	-0.3827
R	7.2228	2.3404	0.2963	1477010450100000	-5.1142	5.2554	-0.7997	-0.6004
R	7.0558	2.4206	0.2082	1477010450900000	-5.6828	4.6957	-0.6253	-0.7804
R	7.2595	2.5608	-0.3041	1477010451700000	-6.0944	4.0121	-0.4115	-0.9114
R	7.0936	2.6382	-0.4787	1477010452500000	-6.3230	3.2476	-0.1719	-0.9851
R	7.1464	2.8009	-0.1184	1477010453300000	-6.3543	2.4503	0.0784	-0.9969
R	6.5003	2.8268	-0.6146	1477010454100000	-6.1864	1.6703	0.3239	-0.9461
R	5.7545	2.9579	-0.6052	1477010454900000	-5.8297	0.9566	0.5490	-0.8358
R	5.3062	3.1103	-0.7524	1477010455700000	-5.3068	0.3539	0.7396	-0.6730
R	4.9732	-3.1903	-0.6984	1477010456500000	-4.6504	-0.0997	0.8838	-0.4680
R	4.0120	-3.0134	-0.3001	1477010457300000	-3.9018	-0.3759	0.9724	-0.2335
R	3.1436	-2.9531	-0.4112	1477010458100000	-3.1080	-0.4572	0.9999	0.0157
R	2.3027	-3.0136	-1.0570	1477010458900000	-2.3190	-0.3386	0.9646	0.2638
R	1.5585	-3.0942	-0.9712	1477010459700000	-1.5843	-0.0275	0.8686	0.4954
R	1.3519	2.6544	-0.9296	1477010460500000	-0.9500	0.4566	0.7181	0.6959
R	1.2623	1.9620	0.3842	1477010461300000	-0.4560	1.0832	0.5225	0.8526
R	1.7017	1.7111	1.1589	1477010462100000	-0.1334	1.8130	0.2941	0.9558
R	2.4276	1.5797	0.8210	1477010462900000	-0.0024	2.6000	0.0471	0.9989
R	3.2670	1.5699	1.1906	1477010463700000	0.0509	3.3969	0.1720	0.9851
R	3.8934	1.5046	0.9010	1477010464500000	0.2915	4.1576	0.4115	0.9114
R	4.9811	1.4129	0.6968	1477010465300000	0.7137	4.8347	0.6253	0.7804
R	5.7352	1.3764	1.2358	1477010466100000	1.2911	5.3854	0.7997	0.6004
R	5.5808	1.2179	0.6627	1477010466900000	1.9873	5.7753	0.9239	0.3827
R	6.6816	1.1170	0.5200	1477010467700000	2.7585	5.9798	0.9900	0.1409
R	6.9357	0.9883	0.5728	1477010468500000	3.5564	5.9861	0.9940	-0.1098
R	7.2885	0.9308	0.7571	1477010469300000	4.3308	5.7937	0.9354	-0.3535
R	7.5621	0.8553	0.1688	1477010470100000	5.0330	5.4148	0.8181	-0.5750
R	7.8444	0.7224	0.0071	1477010470900000	5.6189	4.8732	0.6494	-0.7604
R	7.1735	0.6442	-0.0253	1477010471700000	6.0517	4.2029	0.4399	-0.8980
R	7.0391	0.4998	-1.1188	1477010472500000	6.3042	3.4460	0.2028	-0.9792
R	6.8876	0.3646	-0.2640	1477010473300000	6.3606	2.6501	-0.0471	-0.9989
R	6.2410	0.2846	-0.4397	1477010474100000	6.2172	1.8651	-0.2941	-0.9558
R	6.1262	0.2316	-0.5339	1477010474900000	5.8832	1.1405	-0.5225	-0.8526
R	5.0740	0.1109	-1.2680	1477010475700000	5.3794	0.5218	-0.7181	-0.6959
R	4.9574	0.0176	-0.8883	1477010476500000	4.7376	0.0477	-0.8686	-0.4955
R	3.4233	-0.0579	-1.5100	1477010477300000	3.9980	-0.2518	-0.9646	-0.2639
R	3.4999	-0.1117	-0.7173	1477010478100000	3.2072	-0.3580	-0.9999	-0.0157
R	2.4611	-0.1016	-0.8291	1477010478900000	2.4149	-0.2643	-0.9724	0.2334
R	2.0062	-0.0571	-0.7244	1477010479700000	1.6707	0.0236	-0.8838	0.4679
R	1.3180	0.4785	-0.4145	1477010480500000	1.0215	0.4875	-0.7396	0.6730
R	1.0195	1.1176	0.4817	1477010481300000	0.5081	1.0983	-0.5490	0.8358
R	1.9751	1.4696	0.4576	1477010482100000	0.1627	1.8176	-0.3239	0.9461
R	2.3482	1.5925	1.4562	1477010482900000	0.0071	2.6002	-0.0785	0.9969
